artist,n_docs,entropy,normalized_entropy,dominant_topic,dominant_ratio,n_significant_topics,top_3_topics,top_3_ratios,gini_coefficient,classification
JuL,2878,2.33282377993685,0.7787157085200079,0,0.28943710910354414,3,"0,5,15","0.289,0.254,0.057",0.555177206390553,generalist
La Fouine,1191,2.6229120875699357,0.8755495645337628,0,0.24853064651553317,5,"0,5,7","0.249,0.139,0.068",0.43841309823458374,generalist
Rohff,1094,2.6466505714271875,0.8834736651173872,0,0.19926873857404023,5,"0,5,15","0.199,0.155,0.104",0.4422303473469662,generalist
Sexion d’Assaut,1023,2.531594181771357,0.8450668987078732,0,0.23851417399804498,3,"0,5,15","0.239,0.216,0.069",0.46994134897125733,generalist
Alkpote,889,2.502509007362375,0.8353580289715009,0,0.29471316085489313,4,"0,5,9","0.295,0.154,0.069",0.491057367826566,generalist
Naps,854,2.1220997836422457,0.7083743104735758,0,0.3360655737704918,2,"0,5,10","0.336,0.290,0.048",0.6240046838376294,moderate
Disiz,849,2.5391135810777823,0.8475769358606607,5,0.23439340400471143,3,"5,0,4","0.234,0.216,0.058",0.4695524146030704,generalist
Swift Guad,797,2.5520490301876477,0.851894894853211,0,0.24090338770388958,4,"0,5,15","0.241,0.192,0.068",0.4760978669988742,generalist
IAM,745,2.516809945246625,0.8401317993148981,5,0.30335570469798656,4,"5,0,1","0.303,0.134,0.062",0.48127516778282836,moderate
Sinik,744,2.639250468490174,0.8810034500710224,5,0.23118279569892472,4,"5,0,15","0.231,0.168,0.060",0.4151881720409347,generalist
Lacrim,732,2.487450803637087,0.8303314770802588,5,0.2527322404371585,4,"5,0,7","0.253,0.193,0.105",0.5121584699427946,generalist
Sadek,721,2.3716585938104116,0.7916790878634796,0,0.3314840499306519,3,"0,5,15","0.331,0.189,0.054",0.5361303744772085,moderate
Niro,713,2.556394349386923,0.853345398036568,0,0.24403927068723702,6,"0,5,7","0.244,0.150,0.090",0.4938990182303496,generalist
Mac Tyer,704,2.551868757129291,0.8518347182279671,0,0.26988636363636365,4,"0,5,7","0.270,0.158,0.065",0.4715909090885513,generalist
Gims,703,2.350486734709612,0.7846117476716665,0,0.2887624466571835,3,"0,5,15","0.289,0.252,0.053",0.5387624466544895,generalist
Booba,676,2.670603852010889,0.891469466609783,0,0.21153846153846154,6,"0,5,1","0.212,0.148,0.072",0.42233727810439714,generalist
Alonzo,666,2.3916121770231964,0.798339757573164,0,0.2927927927927928,4,"0,5,10","0.293,0.212,0.065",0.5432432432405272,generalist
